latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.593,92.98,324.5,1.1,1,1/29/2021,435,T,80,6.0NRT,305.8,14.1,D
20.591,92.99,324.3,1.1,1,1/29/2021,435,T,80,6.0NRT,306,13.9,D
19.772,97.728,309.9,2.1,1.4,1/29/2021,435,T,47,6.0NRT,295.7,14.8,D
19.009,100.473,305.2,3.5,1.8,1/29/2021,435,T,31,6.0NRT,290.5,30.7,D
19.557,97.251,319,1.9,1.4,1/29/2021,435,T,41,6.0NRT,303.4,18,D
19.554,97.269,318.7,2,1.4,1/29/2021,435,T,31,6.0NRT,299.7,19.1,D
19.55,97.261,325.1,2,1.4,1/29/2021,435,T,71,6.0NRT,301.8,38.8,D
19.725,96.191,320.3,1.6,1.3,1/29/2021,435,T,73,6.0NRT,300.9,20.6,D
19.095,95.355,325.9,1.5,1.2,1/29/2021,435,T,80,6.0NRT,300.6,27.4,D
18.589,97.549,311.2,2.1,1.4,1/29/2021,435,T,60,6.0NRT,296.3,16.8,D
18.86,95.238,322.8,1.4,1.2,1/29/2021,435,T,73,6.0NRT,299.9,22.2,D
18.707,94.979,314.8,1.4,1.2,1/29/2021,435,T,58,6.0NRT,299.3,7.7,D
18.482,95.896,312.6,1.6,1.3,1/29/2021,435,T,50,6.0NRT,298.3,12,D
10.729,107.846,324.3,1.4,1.2,1/29/2021,600,A,67,6.0NRT,294.7,23.7,D
10.434,105.836,309.4,2,1.4,1/29/2021,600,A,30,6.0NRT,288.1,10.9,D
10.437,105.83,311.7,2,1.4,1/29/2021,600,A,52,6.0NRT,287.9,15.6,D
10.894,107.859,315.8,1.4,1.2,1/29/2021,600,A,55,6.0NRT,295.4,9.2,D
10.561,105.711,313.8,2,1.4,1/29/2021,600,A,52,6.0NRT,291,17,D
10.615,105.738,312.5,2,1.4,1/29/2021,600,A,29,6.0NRT,291.2,14.2,D
10.618,105.733,311.9,2,1.4,1/29/2021,600,A,36,6.0NRT,290.8,13.1,D
10.665,105.941,312.5,1.9,1.4,1/29/2021,600,A,55,6.0NRT,289.3,18.4,D
11.149,108.177,317.6,1.3,1.1,1/29/2021,600,A,57,6.0NRT,299.4,9.4,D
11.312,108.305,319.1,1.3,1.1,1/29/2021,600,A,61,6.0NRT,302.9,10.1,D
10.942,103.772,315,2.8,1.6,1/29/2021,600,A,41,6.0NRT,290.4,34.8,D
11.796,106.366,324.3,1.7,1.3,1/29/2021,600,A,61,6.0NRT,298.5,24.6,D
11.81,106.379,330.8,1.7,1.3,1/29/2021,600,A,77,6.0NRT,300.7,38,D
11.808,106.364,324.4,1.7,1.3,1/29/2021,600,A,41,6.0NRT,298.6,23.8,D
11.808,106.374,329.5,1.7,1.3,1/29/2021,600,A,60,6.0NRT,300.7,34.8,D
11.574,104.234,320,2.5,1.5,1/29/2021,600,A,71,6.0NRT,289.9,35.8,D
11.57,104.211,321.1,2.5,1.5,1/29/2021,600,A,73,6.0NRT,288.5,40.6,D
11.997,106.612,325.4,1.6,1.3,1/29/2021,600,A,74,6.0NRT,303.6,21.1,D
11.554,103.955,323.7,2.6,1.6,1/29/2021,600,A,67,6.0NRT,287.3,65.3,D
12.007,106.458,331.2,1.7,1.3,1/29/2021,600,A,84,6.0NRT,302.5,37.4,D
12.005,106.443,321.9,1.7,1.3,1/29/2021,600,A,76,6.0NRT,301.3,15.2,D
12.005,106.453,329.8,1.7,1.3,1/29/2021,600,A,83,6.0NRT,302.3,33.7,D
12.114,106.556,331.2,1.6,1.3,1/29/2021,600,A,84,6.0NRT,302.4,39.5,D
12.043,106.114,315.2,1.8,1.3,1/29/2021,600,A,64,6.0NRT,293.3,16.5,D
12.117,106.564,323.7,1.6,1.3,1/29/2021,600,A,67,6.0NRT,301.2,22.6,D
12.114,106.55,323.6,1.6,1.3,1/29/2021,600,A,64,6.0NRT,302.7,20.8,D
12.043,106.123,315,1.8,1.3,1/29/2021,600,A,45,6.0NRT,291.7,14.1,D
12.114,106.412,320.1,1.7,1.3,1/29/2021,600,A,60,6.0NRT,301,17.7,D
11.766,103.952,338.6,2.6,1.6,1/29/2021,600,A,89,6.0NRT,295.5,128.7,D
11.776,103.969,318.1,2.6,1.5,1/29/2021,600,A,49,6.0NRT,294.6,26.6,D
11.772,103.946,338.3,2.6,1.6,1/29/2021,600,A,89,6.0NRT,294.9,129.1,D
12.403,107.357,314.1,1.4,1.2,1/29/2021,600,A,58,6.0NRT,290.6,15,D
12.393,107.293,309.6,1.4,1.2,1/29/2021,600,A,45,6.0NRT,292.1,6.9,D
12.304,106.661,322.8,1.6,1.2,1/29/2021,600,A,67,6.0NRT,301.9,18.8,D
12.301,106.647,329.7,1.6,1.2,1/29/2021,600,A,83,6.0NRT,302.3,33.6,D
12.269,106.442,324.4,1.6,1.3,1/29/2021,600,A,77,6.0NRT,304.8,20.4,D
12.306,106.601,321.6,1.6,1.2,1/29/2021,600,A,64,6.0NRT,302.5,13.6,D
12.337,106.729,321.1,1.6,1.2,1/29/2021,600,A,58,6.0NRT,301.2,16.2,D
12.335,106.715,320.1,1.6,1.2,1/29/2021,600,A,52,6.0NRT,301.1,14.1,D
12.309,106.609,324.2,1.6,1.2,1/29/2021,600,A,67,6.0NRT,302.1,17.8,D
12.339,106.722,325.5,1.6,1.2,1/29/2021,600,A,80,6.0NRT,301.1,24.5,D
12.359,106.776,317.7,1.6,1.2,1/29/2021,600,A,47,6.0NRT,296.8,12.1,D
12.352,106.734,316.3,1.6,1.2,1/29/2021,600,A,38,6.0NRT,296.6,8.5,D
12.339,106.589,325.4,1.6,1.2,1/29/2021,600,A,80,6.0NRT,302.6,22.1,D
12.221,105.728,314.4,1.9,1.3,1/29/2021,600,A,44,6.0NRT,282.7,22.8,D
12.427,106.922,316.5,1.5,1.2,1/29/2021,600,A,69,6.0NRT,297.8,16,D
12.402,106.769,328.3,1.6,1.2,1/29/2021,600,A,82,6.0NRT,296.9,32.5,D
12.431,106.657,348.6,1.6,1.2,1/29/2021,600,A,95,6.0NRT,297.9,94,D
12.429,106.642,323.9,1.6,1.2,1/29/2021,600,A,78,6.0NRT,297.3,19.6,D
12.442,106.655,325.1,1.6,1.2,1/29/2021,600,A,79,6.0NRT,297,21.9,D
12.478,106.808,316.8,1.5,1.2,1/29/2021,600,A,69,6.0NRT,293,17.2,D
12.425,106.479,348.6,1.6,1.3,1/29/2021,600,A,95,6.0NRT,300.7,96.5,D
12.478,106.736,316.1,1.6,1.2,1/29/2021,600,A,42,6.0NRT,296,10.5,D
12.508,106.788,313.1,1.5,1.2,1/29/2021,600,A,35,6.0NRT,293.2,6.9,D
